employee_id,position,experience_years,macro_domains,micro_domains,skill_PHP,skill_Python,skill_JavaScript,skill_TypeScript,skill_Go,skill_Rust,skill_C#,skill_C++,skill_Java,skill_Kotlin,skill_Swift,skill_Ruby,skill_Dart,skill_Lua,skill_R,skill_Laravel,skill_React,skill_Vue.js,skill_Next.js,skill_Nuxt.js,skill_Angular,skill_Svelte,skill_Django,skill_FastAPI,skill_Flask,skill_Spring Boot,skill_Ruby on Rails,skill_Express.js,skill_NestJS,skill_Flutter,skill_React Native,skill_Android (Native),skill_iOS (Native),skill_PostgreSQL,skill_MySQL,skill_SQLite,skill_MongoDB,skill_Redis,skill_Elasticsearch,skill_Firebase,skill_Supabase,skill_Pinecone,skill_Milvus,skill_ChromaDB,skill_Docker,skill_Kubernetes,skill_GitHub Actions,skill_AWS,skill_Google Cloud,skill_Azure,skill_Terraform,skill_Nginx,skill_Linux,skill_MLflow,skill_Ollama,skill_Unity,skill_Unreal Engine,skill_Godot,skill_Figma,skill_Adobe XD,skill_Blender,skill_Photoshop,skill_PHPUnit,skill_Jest,skill_Cypress,skill_Selenium,skill_Pest,skill_TensorFlow,skill_PyTorch,skill_scikit-learn,skill_Pandas,skill_NumPy,skill_LangChain,skill_LlamaIndex,skill_Hugging Face,skill_Keras,availability_status,days_until_free,concurrent_tasks_count,daily_update_compliance_rate,individual_task_throughput
14,Technical Product Manager,8,"[1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Portal & Dashboard Development,REST API Architecture,Headless CMS Integration",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.8,1.05
15,Project Manager,6,"[1, 0, 0, 0, 0, 0, 0]","Portal & Dashboard Development,REST API Architecture,Full-Stack Development,Database Architecture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Out of Office,3,0,0.72,1.2
16,Solutions Architect,14,"[1, 0, 0, 0, 0, 0, 1]","REST API Architecture,Database Architecture,Cloud Deployment (AWS),Containerization (Docker/Kubernetes)",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,4,3,3,3,3,3,0,0,0,0,0,5,4,5,5,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,11,3,0.96,0.87
17,Research Scientist,10,"[0, 0, 1, 0, 0, 0, 0]","Machine Learning (Supervised),Natural Language Processing,LLM Fine-Tuning & Prompt Engineering,Statistical Modeling",0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,3,4,5,5,Busy,5,2,0.93,0.93
18,Backend Developer,3,"[1, 0, 0, 0, 0, 0, 0]","REST API Architecture,Database Architecture,Full-Stack Development,Real-Time Web (WebSockets)",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,Available,0,0,0.78,1.15
19,Frontend Developer,7,"[1, 0, 0, 0, 1, 0, 0]","User Interface Design (Figma),Portal & Dashboard Development,Accessibility Design (WCAG),Real-Time Web (WebSockets)",0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,3,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,3,2,0,0,0,0,0,0,0,0,0,0,Busy,6,2,0.9,0.97
20,Game Developer,2,"[0, 1, 0, 0, 0, 0, 0]","Godot Development,Game UI/HUD Design,Game Physics Programming,Procedural Content Generation",0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.65,1.25
21,Full Stack Developer,5,"[1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,REST API Architecture,Real-Time Web (WebSockets),Database Architecture",4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,Busy,3,1,0.85,1.02
22,Mobile Developer,8,"[0, 0, 0, 0, 0, 1, 0]","Native iOS (Swift/SwiftUI),Native Android (Kotlin),Mobile UI/UX Patterns,App Store Optimization",0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,2,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.88,0.95
23,DevOps Engineer,5,"[0, 0, 0, 0, 0, 0, 1]","Containerization (Docker/Kubernetes),CI/CD Pipeline Design,Cloud Deployment (GCP),Infrastructure as Code (Terraform)",0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,5,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,9,3,0.94,0.88
24,Data / ML Engineer,7,"[0, 0, 1, 0, 0, 0, 0]","Machine Learning (Supervised),Natural Language Processing,Computer Vision,Data Pipeline Engineering",0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,4,2,3,4,4,Busy,8,3,0.92,0.9
25,Backend Developer,11,"[1, 0, 0, 0, 0, 0, 1]","REST API Architecture,Database Architecture,Containerization (Docker/Kubernetes),Site Reliability Engineering",5,0,0,0,4,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4,2,3,4,2,0,0,0,0,0,4,3,4,5,3,3,3,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,Available,0,0,0.97,0.88
26,UI/UX Designer,6,"[0, 1, 0, 0, 1, 0, 0]","User Interface Design (Figma),Game UI/HUD Design,Motion Design & Animation,UX Research & Wireframing",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,4,2,0.82,1.07
27,QA Engineer,3,"[1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Portal & Dashboard Development,REST API Architecture,Database Architecture",0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,2,0,0,0,0,0,0,0,0,0,Available,0,0,0.75,1.18
28,Game Developer,9,"[0, 1, 0, 0, 0, 0, 0]","Unity Development,Unreal Engine Development,Multiplayer & Netcode,Game Physics Programming",0,0,0,0,0,0,5,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,7,2,0.8,1.1
29,AI Engineer,6,"[0, 0, 1, 0, 0, 0, 0]","RAG (Retrieval-Augmented Generation),LLM Fine-Tuning & Prompt Engineering,Vector Databases (Pinecone/Milvus),Natural Language Processing",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,4,3,3,Available,0,0,0.91,0.97
30,Full Stack Developer,13,"[1, 0, 0, 0, 0, 0, 1]","Full-Stack Development,REST API Architecture,Database Architecture,CI/CD Pipeline Design",5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,3,4,0,0,0,0,0,0,5,4,5,5,4,3,3,5,5,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,Busy,15,4,0.95,0.87
31,Backend Developer,1,"[1, 0, 0, 0, 0, 0, 0]","REST API Architecture,Database Architecture,Full-Stack Development,Headless CMS Integration",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.7,1.3
32,Frontend Developer,2,"[1, 0, 0, 0, 1, 0, 0]","Portal & Dashboard Development,User Interface Design (Figma),UX Research & Wireframing,Real-Time Web (WebSockets)",0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Busy,2,1,0.8,1.1
33,Data Analyst,8,"[0, 0, 1, 0, 0, 0, 0]","Data Analytics & Visualization,Statistical Modeling,Time-Series Forecasting,Machine Learning (Unsupervised)",0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,4,0,0,3,0,Available,0,0,0.86,1.08
34,Mobile Developer,4,"[0, 0, 0, 0, 0, 1, 0]","Flutter (Cross-Platform),React Native (Cross-Platform),Mobile UI/UX Patterns,Offline-First Mobile Architecture",0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,5,2,0.83,1.04
35,Solutions Architect,15,"[1, 0, 1, 0, 0, 0, 1]","REST API Architecture,Database Architecture,Cloud Deployment (AWS),MLOps & Model Deployment",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,5,5,5,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,4,4,4,4,Busy,18,5,0.99,0.8
36,Game Developer,4,"[0, 1, 0, 0, 1, 0, 0]","Unreal Engine Development,Interactive 3D Environments,Game UI/HUD Design,Motion Design & Animation",0,0,0,0,0,0,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,3,1,0.78,1.15
37,MLOps Engineer,5,"[0, 0, 1, 0, 0, 0, 1]","MLOps & Model Deployment,CI/CD Pipeline Design,Cloud Deployment (GCP),Data Pipeline Engineering",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,0,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,3,3,Available,0,0,0.88,0.98
38,Backend Developer,9,"[1, 0, 0, 0, 0, 0, 1]","REST API Architecture,Database Architecture,Real-Time Web (WebSockets),Containerization (Docker/Kubernetes)",0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,3,0,2,3,4,0,0,0,0,0,0,4,3,4,4,3,0,2,4,5,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,Busy,11,3,0.93,0.91
39,QA Engineer,7,"[1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Portal & Dashboard Development,REST API Architecture,Database Architecture",0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,5,0,0,0,0,0,0,0,0,0,Available,0,0,0.9,1.0
40,Research Scientist,13,"[0, 0, 1, 0, 0, 0, 0]","Natural Language Processing,LLM Fine-Tuning & Prompt Engineering,Machine Learning (Supervised),RAG (Retrieval-Augmented Generation)",0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,Busy,10,3,0.97,0.85
41,UI/UX Designer,5,"[1, 0, 0, 0, 1, 0, 0]","User Interface Design (Figma),Accessibility Design (WCAG),UX Research & Wireframing,Brand Identity Design",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.85,1.03
42,Full Stack Developer,6,"[1, 0, 0, 0, 0, 1, 0]","Full-Stack Development,Mobile UI/UX Patterns,Flutter (Cross-Platform),REST API Architecture",3,0,4,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,2,2,2,0,0,2,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,Busy,6,2,0.87,1.01
43,DevOps Engineer,13,"[0, 0, 0, 0, 0, 0, 1]","Cloud Deployment (AWS),Cloud Deployment (Azure),CI/CD Pipeline Design,Infrastructure as Code (Terraform)",0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,5,5,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,16,4,0.98,0.82
44,Backend Developer,5,"[1, 0, 0, 0, 0, 0, 0]","REST API Architecture,Database Architecture,E-Commerce Systems,Headless CMS Integration",5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,Busy,4,2,0.84,1.05
45,Game Developer,11,"[0, 1, 0, 0, 0, 0, 0]","Unity Development,Multiplayer & Netcode,Game Physics Programming,Procedural Content Generation",0,2,0,0,0,0,5,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.82,1.08
46,Mobile Developer,10,"[0, 0, 0, 0, 0, 1, 1]","Native Android (Kotlin),Native iOS (Swift/SwiftUI),CI/CD Pipeline Design,Mobile UI/UX Patterns",0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,2,2,3,0,0,3,2,0,0,3,2,3,2,2,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,8,2,0.9,0.94
47,Data / ML Engineer,6,"[0, 0, 1, 0, 0, 0, 0]","Machine Learning (Supervised),Computer Vision,Data Pipeline Engineering,Data Analytics & Visualization",0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,4,0,0,4,4,Available,0,0,0.89,0.99
48,Cybersecurity Engineer,7,"[0, 0, 0, 0, 0, 0, 1]","Cybersecurity & Hardening,Infrastructure as Code (Terraform),Site Reliability Engineering,Cloud Deployment (AWS)",0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,3,2,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,7,2,0.96,0.88
49,AI Engineer,12,"[0, 0, 1, 0, 0, 0, 1]","LLM Fine-Tuning & Prompt Engineering,RAG (Retrieval-Augmented Generation),AI Agent Orchestration (LangChain),MLOps & Model Deployment",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,4,4,4,5,0,0,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,4,5,5,5,5,Busy,13,4,0.99,0.83
50,Backend Developer,8,"[1, 0, 0, 0, 0, 0, 0]","REST API Architecture,GraphQL API Design,Database Architecture,E-Commerce Systems",0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,4,0,0,0,0,3,3,2,3,4,0,0,0,0,0,0,3,0,3,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,0,0,0,0,0,Busy,6,2,0.91,0.96
